starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 12 09:45:25 2022	1668242725	0	5	5	0
Sat Nov 12 09:45:25 2022	1668242725	4	2	6	2
Sat Nov 12 09:45:25 2022	1668242725	4	2	6	2
Sat Nov 12 09:45:25 2022	1668242725	4	2	6	1
Sat Nov 12 09:45:25 2022	1668242725	4	2	6	1
Sat Nov 12 09:45:25 2022	1668242725	4	2	6	2
Sat Nov 12 09:45:25 2022	1668242725	4	2	6	2
Sat Nov 12 09:45:25 2022	1668242725	4	2	6	2
Sat Nov 12 09:45:25 2022	1668242725	4	2	6	2
Sat Nov 12 09:45:25 2022	1668242725	4	3	7	3
Sat Nov 12 09:45:25 2022	1668242725	4	3	7	3
Sat Nov 12 09:45:25 2022	1668242725	4	3	7	3
Sat Nov 12 09:45:25 2022	1668242725	4	4	8	4
Sat Nov 12 09:45:25 2022	1668242725	4	4	8	4
Sat Nov 12 09:45:25 2022	1668242725	4	4	8	4
Sat Nov 12 09:45:25 2022	1668242725	4	5	8	5
Sat Nov 12 09:45:25 2022	1668242725	4	5	9	5
Sat Nov 12 09:45:25 2022	1668242725	4	5	9	5
Sat Nov 12 09:45:25 2022	1668242725	4	6	9	6
Sat Nov 12 09:45:25 2022	1668242725	4	6	10	6
Sat Nov 12 09:45:25 2022	1668242725	4	6	10	6
Sat Nov 12 09:45:25 2022	1668242725	4	7	10	7
Sat Nov 12 09:45:25 2022	1668242725	4	7	10	7
Sat Nov 12 09:45:25 2022	1668242725	3	7	11	7
Sat Nov 12 09:45:25 2022	1668242725	3	8	11	8
Sat Nov 12 09:45:25 2022	1668242725	3	8	12	8
Sat Nov 12 09:45:25 2022	1668242725	3	8	12	8
Sat Nov 12 09:45:25 2022	1668242725	3	9	12	9
Sat Nov 12 09:45:25 2022	1668242725	3	9	12	9
Sat Nov 12 09:45:25 2022	1668242725	3	9	13	9
Sat Nov 12 09:45:25 2022	1668242725	3	10	13	10
Sat Nov 12 09:45:25 2022	1668242725	3	10	13	10
Sat Nov 12 09:45:25 2022	1668242725	3	11	14	11
Sat Nov 12 09:45:25 2022	1668242725	3	11	14	11
Sat Nov 12 09:45:25 2022	1668242725	3	12	15	12
Sat Nov 12 09:45:25 2022	1668242725	3	12	15	12
Sat Nov 12 09:45:25 2022	1668242725	3	12	16	12
Sat Nov 12 09:45:25 2022	1668242725	3	13	16	13
Sat Nov 12 09:45:25 2022	1668242725	3	13	16	13
Sat Nov 12 09:45:25 2022	1668242725	3	13	17	13
Sat Nov 12 09:45:25 2022	1668242725	3	14	17	14
Sat Nov 12 09:45:25 2022	1668242725	3	14	17	14
Sat Nov 12 09:45:25 2022	1668242725	3	14	18	14
Sat Nov 12 09:45:25 2022	1668242725	3	15	18	15
Sat Nov 12 09:45:25 2022	1668242725	3	15	18	15
Sat Nov 12 09:45:25 2022	1668242725	3	16	19	16
Sat Nov 12 09:45:25 2022	1668242725	3	16	19	16
Sat Nov 12 09:45:25 2022	1668242725	3	16	19	16
