starttime	seconds	ctime	dtime	ttime	wait
Sat Nov 12 09:45:23 2022	1668242723	0	12	12	1
Sat Nov 12 09:45:23 2022	1668242723	10	3	13	3
Sat Nov 12 09:45:23 2022	1668242723	10	3	13	3
Sat Nov 12 09:45:23 2022	1668242723	10	3	13	2
Sat Nov 12 09:45:23 2022	1668242723	10	3	13	2
Sat Nov 12 09:45:23 2022	1668242723	11	3	13	3
Sat Nov 12 09:45:23 2022	1668242723	10	3	13	3
Sat Nov 12 09:45:23 2022	1668242723	10	3	14	3
Sat Nov 12 09:45:23 2022	1668242723	10	4	14	4
Sat Nov 12 09:45:23 2022	1668242723	10	4	14	4
Sat Nov 12 09:45:23 2022	1668242723	10	5	15	5
Sat Nov 12 09:45:23 2022	1668242723	10	5	15	5
Sat Nov 12 09:45:23 2022	1668242723	10	6	15	5
Sat Nov 12 09:45:23 2022	1668242723	10	6	15	6
Sat Nov 12 09:45:23 2022	1668242723	9	6	16	6
Sat Nov 12 09:45:23 2022	1668242723	9	7	16	7
Sat Nov 12 09:45:23 2022	1668242723	9	7	17	7
Sat Nov 12 09:45:23 2022	1668242723	9	8	17	7
Sat Nov 12 09:45:23 2022	1668242723	9	8	17	8
Sat Nov 12 09:45:23 2022	1668242723	9	8	17	8
Sat Nov 12 09:45:23 2022	1668242723	9	9	18	9
Sat Nov 12 09:45:23 2022	1668242723	9	9	18	9
Sat Nov 12 09:45:23 2022	1668242723	9	9	18	9
Sat Nov 12 09:45:23 2022	1668242723	9	10	18	10
Sat Nov 12 09:45:23 2022	1668242723	9	10	19	10
Sat Nov 12 09:45:23 2022	1668242723	9	11	19	11
Sat Nov 12 09:45:23 2022	1668242723	9	11	20	11
Sat Nov 12 09:45:23 2022	1668242723	9	12	20	12
Sat Nov 12 09:45:23 2022	1668242723	8	12	21	12
Sat Nov 12 09:45:23 2022	1668242723	8	13	21	12
Sat Nov 12 09:45:23 2022	1668242723	8	13	21	13
Sat Nov 12 09:45:23 2022	1668242723	8	13	21	13
Sat Nov 12 09:45:23 2022	1668242723	8	14	22	14
Sat Nov 12 09:45:23 2022	1668242723	8	14	22	14
Sat Nov 12 09:45:23 2022	1668242723	8	14	22	14
Sat Nov 12 09:45:23 2022	1668242723	8	15	23	15
Sat Nov 12 09:45:23 2022	1668242723	8	15	23	15
Sat Nov 12 09:45:23 2022	1668242723	8	15	23	15
Sat Nov 12 09:45:23 2022	1668242723	8	16	23	16
Sat Nov 12 09:45:23 2022	1668242723	8	16	24	16
Sat Nov 12 09:45:23 2022	1668242723	8	16	24	16
Sat Nov 12 09:45:23 2022	1668242723	7	17	24	17
Sat Nov 12 09:45:23 2022	1668242723	7	17	24	17
Sat Nov 12 09:45:23 2022	1668242723	7	17	25	17
Sat Nov 12 09:45:23 2022	1668242723	7	18	25	18
Sat Nov 12 09:45:23 2022	1668242723	7	18	25	18
Sat Nov 12 09:45:23 2022	1668242723	7	19	26	19
Sat Nov 12 09:45:23 2022	1668242723	7	19	26	19
Sat Nov 12 09:45:23 2022	1668242723	7	20	26	20
Sat Nov 12 09:45:23 2022	1668242723	7	20	27	20
Sat Nov 12 09:45:23 2022	1668242723	7	20	27	20
